animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A729122,*PHOEBE,CAT,BRN TABBY,WHITE,Spayed,2024-08-21,2024-09-28,UNDER AGE/WEIGHT,STRAY,OTC,,2024-10-30,17000 BLK LAKEWOOD BLVD BELLFLOWER CA 90706,OUT OF AREA,ADOPTION,WEB,33.8791465,-118.1419832,Alive on Intake,FALSE,1,"{'lon': -118.1419832, 'lat': 33.8791465}"
A627149,*NICOLE,CAT,BLACK,,Female,2019-03-29,2019-05-26,NORMAL,STRAY,OTC,,2019-06-28,"17000 BLK LANRELBROOK PL, CERRITOS, CA 90703",CERRITOS,ADOPTION,PFE/PAWSHP,33.8685835,-118.0404148,Alive on Intake,FALSE,1,"{'lon': -118.0404148, 'lat': 33.8685835}"
A730125,KALI,CAT,BRN TABBY,,Neutered,2024-08-13,2024-10-13,NORMAL,STRAY,OTC,,2024-10-23,17000 BLK LORI ANN LANE CERRITOS CA 90703,CERRITOS,ADOPTION,WEB,33.8726143,-118.0557338,Alive on Intake,FALSE,1,"{'lon': -118.0557338, 'lat': 33.8726143}"
A730130,*MUFFIN,CAT,BRN TABBY,,Spayed,2024-08-13,2024-10-13,NORMAL,STRAY,OTC,,2024-10-26,17000 BLK LORI ANN LANE CERRITOS CA 90703,CERRITOS,ADOPTION,REMOTE EVT,33.8726143,-118.0557338,Alive on Intake,FALSE,1,"{'lon': -118.0557338, 'lat': 33.8726143}"
A730289,TOBY,DOG,TRICOLOR,,Neutered,2024-01-25,2024-10-17,NORMAL,STRAY,,,2025-03-23,17000 BLK NORWALK BLVD CERRITOS CA 90703,CERRITOS,ADOPTION,WALKIN,33.8771521,-118.0725998,Alive on Intake,FALSE,1,"{'lon': -118.0725998, 'lat': 33.8771521}"
A660796,,CAT,GRAY,WHITE,Male,2008-07-25,2021-07-25,NORMAL,STRAY,OTC,,2021-07-25,"17000 BLK NORWALK BLVD, CERRITOS, CA 90703",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8771578,-118.0725927,Alive on Intake,TRUE,0,"{'lon': -118.0725927, 'lat': 33.8771578}"
A672342,,WILD,PINK,WHITE,Unknown,,2022-03-26,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2022-03-26,"17000 BLK STARK AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,UNDRAGE/WT,33.8757908,-118.0683835,Alive on Intake,TRUE,0,"{'lon': -118.0683835, 'lat': 33.8757908}"
A672338,,WILD,PINK,WHITE,Unknown,,2022-03-26,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2022-03-26,"17000 BLK STARK AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,UNDRAGE/WT,33.8757908,-118.0683835,Alive on Intake,TRUE,0,"{'lon': -118.0683835, 'lat': 33.8757908}"
A627949,JASPER,DOG,TAN,WHITE,Neutered,2015-06-08,2019-06-08,NORMAL,STRAY,OTC,,2019-06-14,"17000 BLK STORK AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,33.8724552,-118.0595907,Alive on Intake,FALSE,1,"{'lon': -118.0595907, 'lat': 33.8724552}"
A706172,,DOG,TAN,BLACK,Male,2021-09-03,2023-09-03,INJURED  MODERATE,STRAY,FIELD,,2023-09-03,"17000 BLK STUDEBAKER RD, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,AT VET,33.8766656,-118.0998358,Alive on Intake,TRUE,0,"{'lon': -118.0998358, 'lat': 33.8766656}"
A628622,A628622,CAT,BLACK,WHITE,Spayed,2017-06-21,2019-06-21,FRACTIOUS,STRAY,OTC,,2019-07-13,"17000 LAURALBROOK CT, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.8729561,-118.0407857,Alive on Intake,FALSE,1,"{'lon': -118.0407857, 'lat': 33.8729561}"
A589600,,CAT,BLACK,WHITE,Male,2017-04-04,2017-05-03,UNDER AGE/WEIGHT,STRAY,OTC,,2017-05-14,"17000 LAURELBROOK CT, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLELION,33.8729561,-118.0407857,Alive on Intake,FALSE,1,"{'lon': -118.0407857, 'lat': 33.8729561}"
A589602,,CAT,WHITE,GRAY,Male,2017-04-04,2017-05-03,UNDER AGE/WEIGHT,STRAY,OTC,,2017-05-14,"17000 LAURELBROOK CT, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLELION,33.8729561,-118.0407857,Alive on Intake,FALSE,1,"{'lon': -118.0407857, 'lat': 33.8729561}"
A589804,,DOG,BROWN,WHITE,Male,2017-03-06,2017-05-06,NORMAL,STRAY,OTC,,2017-05-06,"17000 LESLIE AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,OTHER RESC,33.8770285,-118.0436288,Alive on Intake,FALSE,1,"{'lon': -118.0436288, 'lat': 33.8770285}"
A600720,,DOG,GRAY,WHITE,Female,,2017-12-04,ILL MODERATETE,STRAY,FIELD,,2017-12-04,"17000 MARQUARDT AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8764551,-118.0371799,Alive on Intake,TRUE,0,"{'lon': -118.0371799, 'lat': 33.8764551}"
A588983,*PAULIE,DOG,TAN,,Male,2006-04-21,2017-04-21,ILL SEVERE,STRAY,FIELD,,2017-05-04,"17100 BLK HARVEST AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8756518,-118.0921061,Alive on Intake,TRUE,0,"{'lon': -118.0921061, 'lat': 33.8756518}"
A740895,,CAT,GRAY,,Male,2024-05-18,2025-05-17,INJURED  SEVERE,STRAY,FIELD,,,"17100 NORWALK BLVD, CE CA 90703",CERRITOS,,,33.8756134,-118.0717287,Alive on Intake,FALSE,1,"{'lon': -118.0717287, 'lat': 33.8756134}"
A629630,*WIGGLES,DOG,BLACK,WHITE,Neutered,2018-07-10,2019-08-05,BEHAVIOR  SEVERE,OWNER SURRENDER,OTC,,2019-08-11,"17111 GOLDENWEST ST, HUNTINGTON BEACH, CA 92647",OUT OF AREA,ADOPTION,WALKIN,33.7140125,-118.007058,Alive on Intake,FALSE,1,"{'lon': -118.007058, 'lat': 33.7140125}"
A644100,,CAT,BRN TABBY,,Female,2020-06-16,2020-06-19,UNDER AGE/WEIGHT,STRAY,OTC,,2020-07-12,"17200 BLK ANTONIO AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.8750627,-118.0380453,Alive on Intake,FALSE,1,"{'lon': -118.0380453, 'lat': 33.8750627}"
A644097,,CAT,ORG TABBY,,Male,2020-06-16,2020-06-19,UNDER AGE/WEIGHT,STRAY,OTC,,2020-07-12,"17200 BLK ANTONIO AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.8750627,-118.0380453,Alive on Intake,FALSE,1,"{'lon': -118.0380453, 'lat': 33.8750627}"
A585164,,CAT,BLACK,,Female,2016-12-25,2017-01-28,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-01-29,"17200 BLK BETTY PL, CERRITOS, CA 90703",CERRITOS,RESCUE,ZOEYSPLACE,33.8750615,-118.0429967,Alive on Intake,FALSE,1,"{'lon': -118.0429967, 'lat': 33.8750615}"
A585216,,CAT,BRN TABBY,,Male,2016-12-15,2017-01-29,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-02-02,"17200 BLK BETTY PL, CERRITOS, CA 90703",CERRITOS,TRANSFER,SPCALA,33.8750615,-118.0429967,Alive on Intake,FALSE,1,"{'lon': -118.0429967, 'lat': 33.8750615}"
A713221,,CAT,BLACK,WHITE,Unknown,2016-01-13,2024-01-13,ILL MODERATETE,STRAY,FIELD,,2024-01-13,17200 BLK CORTNER AVE,CERRITOS,EUTHANASIA,ILL SEVERE,33.8749361,-118.0701536,Alive on Intake,TRUE,0,"{'lon': -118.0701536, 'lat': 33.8749361}"
A657103,*COSMO,CAT,SEAL PT,CREAM,Neutered,2021-03-25,2021-05-06,NORMAL,STRAY,OTC,,2021-05-13,"17200 BLK JEANETTE AVE, CERRITOS, CA 90703",CERRITOS,FOSTER TO ADOPT,,33.875602,-118.0563555,Alive on Intake,FALSE,1,"{'lon': -118.0563555, 'lat': 33.875602}"
A731462,,OTHER,WHITE,GRAY,Unknown,,2024-10-30,INJURED  SEVERE,WILDLIFE,FIELD,,2024-10-30,"17200 BLK LEAL AVE, CERRITOS CA 90703",LONG BEACH,TRANSFER,LBAH,33.8743068,-118.0525985,Alive on Intake,FALSE,1,"{'lon': -118.0525985, 'lat': 33.8743068}"
A698604,*RAVEN,CAT,BLACK,,Female,2023-04-20,2023-05-11,I/I REPORT,STRAY,OTC,,2023-06-07,17200 BLK NORWALK CERRITOS 90703,LONG BEACH,TRANSFER,SPCALA,33.874996,-118.0725508,Alive on Intake,FALSE,1,"{'lon': -118.0725508, 'lat': 33.874996}"
A737467,*HERMAN,CAT,WHITE,BLACK,Male,2015-02-28,2025-02-27,ILL MILD,STRAY,OTC,,2025-02-28,"17200 BLOCK IBEX AVE, CERRITOS CA",CERRITOS,EUTHANASIA,ILL SEVERE,33.8753847,-118.074365,Alive on Intake,TRUE,0,"{'lon': -118.074365, 'lat': 33.8753847}"
A643714,,CAT,BLUE PT,,Spayed,2019-12-11,2020-06-11,NORMAL,STRAY,TRAP,,2020-06-16,"17200 LEAL AVE, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.8743033,-118.0525831,Alive on Intake,FALSE,1,"{'lon': -118.0525831, 'lat': 33.8743033}"
A676160,,CAT,BRN TABBY,WHITE,Female,2022-05-11,2022-05-29,UNDER AGE/WEIGHT,STRAY,FIELD,,2022-06-02,"17300 BLK ELY AVE, CERRITOS, CA 90703",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8740853,-118.0693558,Alive on Intake,TRUE,0,"{'lon': -118.0693558, 'lat': 33.8740853}"
A676134,*KINGDOM,CAT,BRN TABBY,WHITE,Spayed,2021-05-29,2022-05-29,FRACTIOUS,STRAY,TRAP,,2022-07-14,"17300 BLK IBEX AVE, CERRITOS, CA 90703",CERRITOS,COMMUNITY CAT,,33.8743813,-118.0740833,Alive on Intake,FALSE,1,"{'lon': -118.0740833, 'lat': 33.8743813}"
A675666,*IBEX,CAT,BRN TABBY,,Spayed,2017-05-24,2022-05-24,FRACTIOUS,STRAY,TRAP,,2022-06-04,"17300 BLK IBEX AVE, CERRITOS, CA 90703",CERRITOS,COMMUNITY CAT,,33.8743813,-118.0740833,Alive on Intake,FALSE,1,"{'lon': -118.0740833, 'lat': 33.8743813}"
A680786,*FOXY,CAT,GRAY,WHITE,Female,2022-07-03,2022-07-24,UNDER AGE/WEIGHT,STRAY,OTC,,2022-10-22,"17300 BLK MOONGLOW CIR, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.874181,-118.0661916,Alive on Intake,FALSE,1,"{'lon': -118.0661916, 'lat': 33.874181}"
A608045,,CAT,BLACK,WHITE,Unknown,2018-04-23,2018-05-23,INJURED  SEVERE,STRAY,FIELD,,2018-05-23,"17300 BLK NORWALK BLVD, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,INJ SEVERE,33.8737731,-118.0719841,Alive on Intake,TRUE,0,"{'lon': -118.0719841, 'lat': 33.8737731}"
A636826,*BIG CHEESE,DOG,BLACK,BROWN,Neutered,2015-11-29,2019-11-29,NORMAL,STRAY,OTC,,2019-12-14,"17300 BLK NORWALK BLVD, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,33.8737731,-118.0719841,Alive on Intake,FALSE,1,"{'lon': -118.0719841, 'lat': 33.8737731}"
A623670,BENTLEY,DOG,BLACK,WHITE,Neutered,2014-03-23,2019-03-23,NORMAL,CONFISCATE,CRUELTY,,2020-11-29,"17300 BLK STARK AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,WEB,33.8741722,-118.0678454,Alive on Intake,FALSE,1,"{'lon': -118.0678454, 'lat': 33.8741722}"
A623669,NUGGET,DOG,TAN,,Neutered,2017-10-23,2019-03-23,NORMAL,CONFISCATE,CRUELTY,,2020-09-15,"17300 BLK STARK AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,REMOTE EVT,33.8741722,-118.0678454,Alive on Intake,FALSE,1,"{'lon': -118.0678454, 'lat': 33.8741722}"
A615854,,CAT,BRN TABBY,WHITE,Male,2018-09-19,2018-10-06,UNDER AGE/WEIGHT,STRAY,OTC,,2018-11-09,"17300 CORTNER AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,ZOEYSPLACE,33.8740932,-118.0701363,Alive on Intake,FALSE,1,"{'lon': -118.0701363, 'lat': 33.8740932}"
A641932,CHIPPER,DOG,GOLD,,Neutered,2007-02-14,2020-04-15,NORMAL,STRAY,FIELD,,2020-04-15,"17300 GRAYLAND AVE, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,FRE RID HM,33.8744672,-118.0759686,Alive on Intake,FALSE,1,"{'lon': -118.0759686, 'lat': 33.8744672}"
A674691,*VIOLET,CAT,BRN TABBY,WHITE,Female,2022-04-22,2022-05-12,ILL MODERATETE,STRAY,FIELD,,2022-05-29,"17300 IBEX AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,,33.8743813,-118.0740833,Alive on Intake,FALSE,1,"{'lon': -118.0740833, 'lat': 33.8743813}"
A739772,,CAT,BRN TABBY,,Female,2025-03-26,2025-04-23,UNDER AGE/WEIGHT,STRAY,FIELD,,2025-04-23,"17300 NORWALK BLVD, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLELION,33.8737731,-118.0719841,Alive on Intake,FALSE,1,"{'lon': -118.0719841, 'lat': 33.8737731}"
A605567,NORMAN,CAT,GRAY,,Neutered,2006-03-31,2018-03-30,NORMAL,STRAY,FIELD,,2018-03-31,"17300 STUDEBAKER RD, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,MICROCHIP,33.8748734,-118.0994168,Alive on Intake,FALSE,1,"{'lon': -118.0994168, 'lat': 33.8748734}"
A702531,TIPTOE,DOG,BLACK,GRAY,Female,2015-07-08,2023-07-08,INJURED  MILD,STRAY,FIELD,,2023-07-09,17300 VICKIE,CERRITOS,RETURN TO OWNER,FRE RID HM,33.8583483,-118.0647871,Alive on Intake,FALSE,1,"{'lon': -118.0647871, 'lat': 33.8583483}"
A601254,*TEDDY,CAT,BRN TABBY,,Male,2017-10-21,2017-12-21,UNDER AGE/WEIGHT,STRAY,OTC,,2018-01-02,"17400 BLK TERRYLYN LN, CERRITOS, CA 90703",CERRITOS,RESCUE,FNDANIFOUN,33.872686,-118.05709,Alive on Intake,FALSE,1,"{'lon': -118.05709, 'lat': 33.872686}"
A718672,*EBONY,DOG,BLACK,WHITE,Female,2023-09-14,2024-04-14,ILL SEVERE,STRAY,OTC,,2024-04-16,"17400 BLOCK MARQUARDT AVE, CERRITOS, CA",CERRITOS,RESCUE,SPARKYGANG,33.8732306,-118.0376939,Alive on Intake,FALSE,1,"{'lon': -118.0376939, 'lat': 33.8732306}"
A706720,,CAT,GRAY TABBY,WHITE,Male,2023-09-12,2023-09-13,UNDER AGE/WEIGHT,STRAY,OTC,,2023-09-13,"17400 BLOCK TERRY LYN LN, CERRITOS CA",CERRITOS,DIED,IN FOSTER,33.872686,-118.05709,Alive on Intake,TRUE,0,"{'lon': -118.05709, 'lat': 33.872686}"
A596208,,CAT,BLACK,,Unknown,2017-08-21,2017-08-30,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-10-05,"17400 LEAL AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,FNDANIFOUN,33.8727175,-118.0525379,Alive on Intake,FALSE,1,"{'lon': -118.0525379, 'lat': 33.8727175}"
A615555,,CAT,BLACK,WHITE,Male,2018-09-03,2018-10-03,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-10-06,"17400 STUDEBAKER RD, CERRITOS, CA 90703",CERRITOS,RESCUE,FNDANIFOUN,33.8728649,-118.0998009,Alive on Intake,FALSE,1,"{'lon': -118.0998009, 'lat': 33.8728649}"
A638469,,CAT,BLACK,WHITE,Unknown,2017-01-11,2020-01-11,ILL SEVERE,STRAY,FIELD,,2020-01-11,"17400 TERRY LYN LN, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,AT VET,33.872686,-118.05709,Alive on Intake,TRUE,0,"{'lon': -118.05709, 'lat': 33.872686}"
A585256,MAX,DOG,BROWN,WHITE,Neutered,2008-10-19,2018-10-18,NORMAL,OWNER SURRENDER,OTC,MOVE,2019-02-13,"17429 JEFFREY AVE, CERRITOS, CA 90703",CERRITOS,DIED,AT VET,33.8723291,-118.0548115,Alive on Intake,TRUE,0,"{'lon': -118.0548115, 'lat': 33.8723291}"
A436930,CHA CHA,CAT,GRAY TABBY,,Spayed,2008-06-03,2017-12-01,ILL SEVERE,OWNER SURRENDER,FIELD,,2017-12-01,"17500 ANTONIO AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8725947,-118.0382727,Alive on Intake,TRUE,0,"{'lon': -118.0382727, 'lat': 33.8725947}"
A634467,A634467*HONEYBEE,CAT,BRN TABBY,WHITE,Spayed,2018-10-02,2019-10-02,NORMAL,STRAY,OTC,,2019-10-09,"17500 BLK PARKVALLE PL, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.87271080000001,-118.0390805,Alive on Intake,FALSE,1,"{'lon': -118.0390805, 'lat': 33.87271080000001}"
A689327,*XANDER,CAT,BLACK,WHITE,Male,2022-08-23,2022-11-23,NORMAL,STRAY,OTC,,2022-12-01,"17500 BLK STARK AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,,33.8719118,-118.0675199,Alive on Intake,FALSE,1,"{'lon': -118.0675199, 'lat': 33.8719118}"
A637727,,CAT,GRAY,WHITE,Male,2019-10-19,2019-12-19,NORMAL,STRAY,OTC,,2019-12-20,"17500 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.8719397,-118.0666732,Alive on Intake,FALSE,1,"{'lon': -118.0666732, 'lat': 33.8719397}"
A637725,,CAT,BLACK,WHITE,Female,2019-10-19,2019-12-19,NORMAL,STRAY,OTC,,2019-12-20,"17500 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.8719397,-118.0666732,Alive on Intake,FALSE,1,"{'lon': -118.0666732, 'lat': 33.8719397}"
A637729,,CAT,BRN TABBY,,Male,2019-10-19,2019-12-19,NORMAL,STRAY,OTC,,2019-12-20,"17500 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,LITTLEPAWS,33.8719397,-118.0666732,Alive on Intake,FALSE,1,"{'lon': -118.0666732, 'lat': 33.8719397}"
A705467,*RHODE ISLAND,CAT,WHITE,BLACK,Spayed,2023-07-19,2023-08-25,ILL MILD,STRAY,OTC,,2023-12-13,"1760 BLOCK LAKEWOOD BLVD, BELLFLOWER",OUT OF AREA,ADOPTION,WEB,33.9016219,-118.1427665,Alive on Intake,FALSE,1,"{'lon': -118.1427665, 'lat': 33.9016219}"
A586038,,CAT,BRN TABBY,,Male,2013-02-19,2017-02-19,NORMAL,STRAY,OTC,,2017-02-19,"17600 BLK GRAYSTONE AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8710343,-118.0930646,Alive on Intake,TRUE,0,"{'lon': -118.0930646, 'lat': 33.8710343}"
A615432,,CAT,BLACK,WHITE,Neutered,2016-09-30,2018-09-30,ILL MODERATETE,STRAY,FIELD,,2018-09-30,"17600 LINDA WAY, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8713765,-118.0416251,Alive on Intake,TRUE,0,"{'lon': -118.0416251, 'lat': 33.8713765}"
A698838,,BIRD,BLACK,,Unknown,,2023-05-14,ILL SEVERE,WILDLIFE,FIELD,,2023-05-14,"17700 BLK CENTER CIR NORTH, CERR 90703",CERRITOS,EUTHANASIA,ILL SEVERE,33.8724552,-118.0595907,Alive on Intake,TRUE,0,"{'lon': -118.0595907, 'lat': 33.8724552}"
A660691,*OLYMPIA,CAT,GRAY TABBY,WHITE,Spayed,2020-07-21,2021-07-21,INJURED  MILD,STRAY,OTC,,2022-01-21,"17700 BLK CENTER DR, CERRITOS, CA 90703",CERRITOS,ADOPTION,WEB,33.8724552,-118.0595907,Alive on Intake,FALSE,1,"{'lon': -118.0595907, 'lat': 33.8724552}"
A615489,,WILD,GRAY,,Unknown,,2018-10-02,INJURED  MODERATE,WILDLIFE,FIELD,,2018-10-02,"17700 GRIDLEY RD, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,INJ SEVERE,33.870103,-118.0909751,Alive on Intake,TRUE,0,"{'lon': -118.0909751, 'lat': 33.870103}"
A533218,LADY,DOG,GRAY,BLACK,Spayed,2010-09-28,2021-08-16,ILL MODERATETE,STRAY,FIELD,,2021-09-01,"1777 N BELLFLOWER BLVD, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,WALKIN,33.78759,-118.124374,Alive on Intake,FALSE,1,"{'lon': -118.124374, 'lat': 33.78759}"
A725975,*MAGPIE,DOG,BLACK,WHITE,Spayed,2024-01-31,2024-07-31,NORMAL,STRAY,FIELD,,2024-08-28,"17800 BLK SAN GABRIEL AVE, CERRITOS CA",CERRITOS,ADOPTION,WEB,33.8709564,-118.106876,Alive on Intake,FALSE,1,"{'lon': -118.106876, 'lat': 33.8709564}"
A715588,GABRIELA,CAT,WHITE,TAN,Spayed,2023-08-25,2024-04-10,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2024-04-13,"17900 BLK GERRITT PL, CERRITOS CA",CERRITOS,ADOPTION,WEB,33.8688392,-118.0394897,Alive on Intake,FALSE,1,"{'lon': -118.0394897, 'lat': 33.8688392}"
A603827,*CHRISTOPHER,DOG,BROWN,,Male,2017-02-15,2018-02-15,NORMAL,STRAY,FIELD,,2018-03-04,"17900 HOFFMAN AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,SPCALA,33.8687723,-118.1071211,Alive on Intake,FALSE,1,"{'lon': -118.1071211, 'lat': 33.8687723}"
A713688,PANTHER,DOG,BLACK,TAN,Neutered,2023-01-25,2024-01-22,I/I REPORT,STRAY,FIELD,,2024-01-25,17TH AND ATLANTIC,LONG BEACH,RETURN TO OWNER,FRE RID HM,33.788055,-118.1850249,Alive on Intake,FALSE,1,"{'lon': -118.1850249, 'lat': 33.788055}"
A698816,*BARNIBUS,DOG,BROWN,,Male,2021-05-14,2023-05-14,NORMAL,STRAY,OTC,,2023-06-03,180 BLK BLOOMFIELD AVE CER 90703,CERRITOS,RESCUE,VARGASRANC,33.8664275,-118.0638124,Alive on Intake,FALSE,1,"{'lon': -118.0638124, 'lat': 33.8664275}"
A631509,*HORCHATA,DOG,WHITE,GRAY,Neutered,2015-08-08,2019-08-08,ILL MILD,STRAY,FIELD,,2019-08-21,"180 BLK PINE AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,33.7623122,-118.1932481,Alive on Intake,FALSE,1,"{'lon': -118.1932481, 'lat': 33.7623122}"
A584517,MILLIE,DOG,BLACK,WHITE,Spayed,2016-03-13,2017-02-18,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-02-18,"1800 ANCHOR WAY, SEAL BEACH, CA 90740",SEAL BEACH,TRANSFER,SPCALA,33.744953,-118.0917265,Alive on Intake,FALSE,1,"{'lon': -118.0917265, 'lat': 33.744953}"
A712691,*ROBIN,CAT,BLACK,,Spayed,2023-10-02,2024-01-02,INJURED  SEVERE,STRAY,FIELD,,2024-02-11,"1800 ATLANTIC AVE, LONG BEACH CA",LONG BEACH,ADOPTION,WEB,33.7900714,-118.1847415,Alive on Intake,FALSE,1,"{'lon': -118.1847415, 'lat': 33.7900714}"
A731760,*CELIA,DOG,TAN,BLACK,Spayed,2021-11-04,2024-11-02,NORMAL,STRAY,ABAN FIELD,,2024-11-08,"1800 BLK ATLANTIC AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WEB,33.7900714,-118.1847415,Alive on Intake,FALSE,1,"{'lon': -118.1847415, 'lat': 33.7900714}"
A670586,TOOTS,DOG,SEAL,,Female,2016-02-12,2022-02-12,NORMAL,STRAY,OTC,,2022-02-12,"1800 BLK BLOOMFIELD AVE, CERRITOS, CA 90703",LONG BEACH,RETURN TO OWNER,FRE RID HM,33.8664275,-118.0638124,Alive on Intake,FALSE,1,"{'lon': -118.0638124, 'lat': 33.8664275}"
A646880,,CAT,BRN TABBY,WHITE,Neutered,2020-02-25,2020-08-08,FRACTIOUS,STRAY,FIELD,,2020-08-21,"1800 BLK CANAL AVE, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,33.78991860000001,-118.21382,Alive on Intake,FALSE,1,"{'lon': -118.21382, 'lat': 33.78991860000001}"
A701684,*SHRIMP,CAT,BRN TABBY,,Neutered,2023-02-26,2023-06-26,ILL MILD,STRAY,FIELD,,2023-09-01,1800 BLK CASPIAN AVE,LONG BEACH,ADOPTION,,33.7899221,-118.2121785,Alive on Intake,FALSE,1,"{'lon': -118.2121785, 'lat': 33.7899221}"
A657476,*CALLIE,DOG,BROWN,WHITE,Spayed,2021-02-17,2021-05-15,ILL MODERATETE,STRAY,OTC,,2021-05-26,"1800 BLK CASPIAN AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WEB,33.7899221,-118.2121785,Alive on Intake,FALSE,1,"{'lon': -118.2121785, 'lat': 33.7899221}"
A646047,,CAT,BRN TABBY,WHITE,Female,2020-06-07,2020-07-22,UNDER AGE/WEIGHT,STRAY,OTC,,2020-07-23,"1800 BLK CEDAR AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,33.7898612,-118.1950995,Alive on Intake,FALSE,1,"{'lon': -118.1950995, 'lat': 33.7898612}"
A697998,BOLLO,CAT,BLACK,,Neutered,2023-04-11,2023-05-02,I/I REPORT,STRAY,FIELD,,2023-05-19,"1800 BLK CHERRY AVE, LB 90813",LONG BEACH,ADOPTION,WEB,33.7898607,-118.1676429,Alive on Intake,FALSE,1,"{'lon': -118.1676429, 'lat': 33.7898607}"
A695101,*LOLA,DOG,BLACK,CREAM,Spayed,2021-03-22,2023-04-09,NORMAL,RETURN,ADOPTION,OTHER PET,2023-04-09,1800 BLK CHESTNUT AVE LB CA 90806,LONG BEACH,ADOPTION,,33.790074,-118.1961716,Alive on Intake,FALSE,1,"{'lon': -118.1961716, 'lat': 33.790074}"
A722483,*NATASHA,RABBIT,WHITE,,Spayed,2024-05-08,2024-06-08,NORMAL,OWNER SURRENDER,FIELD,NO HOME,2024-10-05,"1800 BLK CHESTNUT AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,RABBITRES,33.790074,-118.1961716,Alive on Intake,FALSE,1,"{'lon': -118.1961716, 'lat': 33.790074}"
A722471,*ABBY CADABBY,RABBIT,WHITE,,Spayed,2023-06-08,2024-06-08,NORMAL,OWNER SURRENDER,FIELD,NO HOME,2024-09-11,"1800 BLK CHESTNUT AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,RABBITRES,33.790074,-118.1961716,Alive on Intake,FALSE,1,"{'lon': -118.1961716, 'lat': 33.790074}"
